loja,data,bazar,mercearia,perecivel,bebidas,horti,perfumaria,limpeza
Loja B,2025-07-06,34909.79,118164.89,93690.14,67232.17,81137.01,30673.67,76041.15
Loja B,2025-07-13,27366.11,74485.53,75269.57,107443.88,92505.75,44955.24,108842.61
Loja B,2025-07-20,77324.27,80637.95,36898.14,105777.36,113096.51,97499.06,114075.25
Loja B,2025-07-27,50229.99,106111.92,68889.31,36391.72,86880.06,88412.03,48692.45
Loja B,2025-08-03,22749.33,39984.73,59977.75,36756.29,39402.99,59139.07,116178.66
Loja B,2025-08-10,96424.35,51974.84,115160.41,84564.68,65544.96,66830.02,61074.45
Loja B,2025-08-17,43299.21,58663.22,72789.64,72802.74,96173.69,55879.79,91679.8
Loja B,2025-08-24,77809.18,116184.54,58528.49,110121.65,102064.25,83766.43,85451.45
Loja B,2025-08-31,28464.99,115022.46,30693.61,76323.33,53007.08,62985.2,81018.3
Loja B,2025-09-07,110885.14,65756.71,118772.96,79281.21,36055.39,39000.93,91611.1
Loja B,2025-09-14,25039.78,68034.16,34821.91,63321.86,94991.74,65881.29,36345.11
Loja B,2025-09-21,45192.54,56753.96,26956.12,78433.76,80753.38,26215.19,60231.13
Loja B,2025-09-28,61400.07,53381.96,75773.97,54595.75,61640.93,99752.35,36210.94
Loja B,2025-10-05,81911.47,70559.44,50507.16,92753.47,75118.84,67736.15,86766.93
Loja B,2025-10-12,100229.03,117266.88,82935.04,107444.0,20109.15,73023.57,41464.75
Loja B,2025-10-19,29419.25,73197.1,94682.65,61227.25,87010.74,68971.93,63708.59
Loja B,2025-10-26,49025.66,58259.35,54979.56,84618.72,31601.85,29263.64,86001.3
Loja B,2025-11-02,74629.81,63020.01,35244.29,61102.71,98973.18,108962.12,90257.66
Loja B,2025-11-09,25991.22,87040.98,44098.56,51525.12,39587.32,97575.58,84860.21
Loja B,2025-11-16,81183.51,86797.26,43677.23,64464.44,83325.37,83659.4,99185.19
Loja B,2025-11-23,48710.4,97033.61,64018.45,87017.27,65571.94,114861.02,37930.23
Loja B,2025-11-30,87500.51,77653.5,37273.1,26600.63,99914.44,35745.13,38650.67
Loja B,2025-12-07,117843.42,91726.09,45048.68,79094.9,73411.18,104447.33,92932.07
Loja B,2025-12-14,103172.11,41150.66,84021.92,24024.09,26894.06,91352.7,22442.01
Loja B,2025-12-21,77976.5,104040.51,57994.18,24484.04,91384.74,112968.65,91717.14
Loja B,2025-12-28,77844.72,43002.88,21537.56,89467.21,43102.62,105816.27,66636.41
Loja C,2025-01-05,73063.56,95393.65,97943.06,84265.08,113843.18,118229.84,114688.54
Loja C,2025-01-12,102417.92,90562.52,86332.59,30375.02,47148.43,20568.82,33740.99
Loja C,2025-01-19,63922.95,34653.66,110166.34,100569.92,27161.19,44891.37,101907.19
Loja C,2025-01-26,100304.61,114545.06,119754.78,117627.01,61013.8,45032.84,95841.02
Loja C,2025-02-02,49927.29,100640.04,73395.47,99392.73,47587.99,70802.73,76402.38
Loja C,2025-02-09,114310.81,46659.76,113668.82,100485.89,93089.41,98687.03,80542.5
Loja C,2025-02-16,44408.0,38949.5,106634.14,92513.94,41320.43,81509.34,64754.65
Loja C,2025-02-23,35865.52,73185.71,48151.91,29624.41,66695.83,79010.86,24690.64
Loja C,2025-03-02,60209.27,45766.19,23065.06,32566.25,33903.42,38287.42,100337.76
Loja C,2025-03-09,63949.19,34708.6,30029.7,49794.05,99801.55,56445.98,35989.74
Loja C,2025-03-16,60411.62,75531.16,22958.42,82764.18,59510.08,20972.59,87388.94
Loja C,2025-03-23,91238.76,82883.98,54193.02,72960.49,58715.77,90062.17,78358.02
Loja C,2025-03-30,28179.91,84309.36,88723.84,57070.22,107578.58,104301.44,37516.65
Loja C,2025-04-06,110426.63,64087.24,92374.97,101409.7,70511.24,59910.19,111545.14
Loja C,2025-04-13,43085.36,45697.01,56162.03,105946.58,113878.83,42006.77,106387.01
Loja C,2025-04-20,45820.3,117064.12,79740.79,20708.65,23412.99,34748.45,38757.32
Loja C,2025-04-27,96761.91,42276.59,116914.16,83611.21,89251.75,41781.65,109270.63
Loja C,2025-05-04,86781.46,106440.56,115648.11,32564.1,29658.72,100340.78,106612.61
Loja C,2025-05-11,78376.14,56600.05,85262.96,50566.41,43838.57,68814.52,41615.38
Loja C,2025-05-18,68370.36,115660.65,103978.4,114163.09,100632.9,55475.09,101204.52
Loja C,2025-05-25,112291.57,114703.58,88319.79,41136.66,23972.92,34720.02,116554.69
Loja C,2025-06-01,66209.68,105498.6,66504.42,86081.76,22414.08,44986.49,63626.93
Loja C,2025-06-08,83063.1,37152.12,96455.15,56440.47,101743.53,29796.91,87975.66
Loja C,2025-06-15,49332.83,99538.32,60217.04,86534.96,113430.53,22062.66,21111.68
Loja C,2025-06-22,97027.93,84639.31,49297.97,69439.67,24193.57,39244.56,62449.64
Loja C,2025-06-29,103404.44,67966.72,78636.25,107375.38,50881.89,90069.93,106166.73
Loja C,2025-07-06,40261.57,55647.82,117981.02,118321.86,42322.99,26644.58,47092.16
Loja C,2025-07-13,59773.2,64100.56,81880.63,109950.28,53034.8,104998.45,29347.89
Loja C,2025-07-20,24187.47,70404.52,25966.22,59248.98,109677.81,44148.3,90597.58
Loja C,2025-07-27,50236.54,24492.01,75669.06,103485.35,60946.84,81729.38,110002.36
Loja C,2025-08-03,98969.45,39387.64,93338.4,70189.3,94596.68,69451.56,32795.82
Loja C,2025-08-10,76990.94,69213.4,71792.17,107890.25,109483.7,65353.71,65573.2
Loja C,2025-08-17,71518.7,71958.93,115038.71,84940.05,47745.7,73153.68,82722.36
Loja C,2025-08-24,83977.17,78525.42,37773.62,23359.32,53784.31,62752.22,26180.42
Loja C,2025-08-31,101496.73,54407.74,111363.27,35441.01,25693.5,68231.61,38912.93
Loja C,2025-09-07,113739.93,21030.34,61261.97,112674.78,58441.82,29310.93,50289.49
Loja C,2025-09-14,69801.04,38515.17,66656.17,103634.32,107261.8,24926.07,36090.34
Loja C,2025-09-21,47529.01,79486.59,56099.48,104404.09,91667.19,30045.6,82455.75
Loja C,2025-09-28,31301.26,45503.57,37787.06,37306.19,81639.55,76360.49,37602.82
Loja C,2025-10-05,119017.28,62183.67,29706.93,32056.9,78389.37,117906.94,77195.11
Loja C,2025-10-12,114904.15,64413.29,63584.11,70000.74,89742.55,56761.6,106388.6
Loja C,2025-10-19,22928.14,63976.42,71099.18,80703.22,47607.19,62748.0,68453.78
Loja C,2025-10-26,88691.0,97354.42,93782.73,54158.31,119945.05,104866.53,46002.34
Loja C,2025-11-02,39510.58,51402.13,65234.49,105079.94,97836.23,105124.61,47195.71
Loja C,2025-11-09,79346.12,48324.91,30902.32,88419.77,34299.76,86769.78,84796.43
Loja C,2025-11-16,101024.84,33955.46,98348.01,119927.65,105104.24,95181.21,86216.54
Loja C,2025-11-23,62178.15,93050.02,92417.8,83149.83,99627.84,64876.39,32125.27
Loja C,2025-11-30,75906.77,46504.35,58443.31,21741.49,58279.06,100880.11,74272.24
Loja C,2025-12-07,20980.05,66984.38,49145.16,67755.07,60469.27,113197.92,24117.73
Loja C,2025-12-14,88358.8,105102.66,115923.86,37763.62,73130.48,24358.96,69918.35
Loja C,2025-12-21,32545.81,103789.67,31387.0,71328.84,72109.61,117165.05,85498.07
Loja C,2025-12-28,48784.03,44079.93,32824.82,95651.47,89075.67,80987.71,24084.04
Loja D,2025-01-05,96282.89,84188.76,116388.89,78720.21,50395.19,58152.06,37584.07
Loja D,2025-01-12,92291.42,90772.17,40065.0,35848.93,27700.49,111197.57,43306.98
Loja D,2025-01-19,54416.35,48050.45,61362.46,91404.88,107059.56,38259.87,88641.23
Loja D,2025-01-26,55256.21,118052.72,49891.92,20719.3,71564.0,35073.11,24449.44
Loja D,2025-02-02,89826.92,93225.93,66069.9,87688.55,73823.94,82980.11,79670.4
Loja D,2025-02-09,86582.28,39963.06,46870.66,63996.31,64612.8,97441.17,56739.37
Loja D,2025-02-16,36250.52,45146.6,41473.35,93166.0,67033.96,90863.07,61621.97
Loja D,2025-02-23,108973.56,118352.03,86984.25,106381.26,70793.33,113462.08,103158.65
Loja D,2025-03-02,119177.86,82309.37,97920.67,74286.81,45912.01,55475.52,109400.54
Loja D,2025-03-09,25594.79,79147.99,57248.4,58669.25,108457.12,105382.24,79884.24
Loja D,2025-03-16,47291.88,67545.63,60829.34,55361.8,30278.56,74311.39,50183.13
Loja D,2025-03-23,86080.79,51920.39,63116.35,25236.04,119253.81,70761.04,22423.76
Loja D,2025-03-30,74123.07,107035.4,97255.21,90090.67,33946.47,85773.71,96629.84
Loja D,2025-04-06,77241.91,109274.9,47698.98,44214.47,106956.97,82539.82,20144.72
Loja D,2025-04-13,55313.14,105785.6,22731.95,20324.79,48125.93,111400.0,110147.76
Loja D,2025-04-20,71876.19,75323.69,53200.8,44373.67,101522.19,30629.49,68735.44
Loja D,2025-04-27,83439.73,30368.03,71960.71,77752.13,94249.61,43483.6,49332.75
Loja D,2025-05-04,76952.11,118312.64,41749.32,118590.38,91434.25,102608.21,28964.13
Loja D,2025-05-11,50042.02,25773.63,57154.7,118128.97,30527.31,76237.28,20607.06
Loja D,2025-05-18,91268.28,39719.27,32958.45,53701.78,97104.43,30661.31,42983.9
Loja D,2025-05-25,20846.44,116841.49,79214.56,91989.96,85138.32,34436.46,79493.99
Loja D,2025-06-01,33141.56,60123.65,76896.31,75888.11,31907.34,23443.6,99823.43
Loja D,2025-06-08,92592.24,28181.89,32741.55,109258.38,96912.89,119616.03,45398.74
Loja D,2025-06-15,68780.3,43645.96,82280.01,31541.42,32724.32,27188.79,89358.61
Loja D,2025-06-22,69407.26,81773.12,107930.1,94032.85,66172.29,118435.6,65625.61
Loja D,2025-06-29,31245.07,119265.47,22282.07,74988.36,50909.55,70355.22,75871.3
Loja D,2025-07-06,44009.59,75685.88,95606.11,46650.98,58342.61,46824.27,102055.97
Loja D,2025-07-13,92498.23,107119.64,37004.99,27357.96,31938.35,36101.83,73308.27
Loja D,2025-07-20,117091.21,55723.54,115850.83,23820.08,112687.22,38115.26,111247.5
Loja D,2025-07-27,25622.74,114821.94,40079.83,50271.41,69094.23,58072.09,86752.8
Loja D,2025-08-03,117480.78,80642.65,92148.54,28800.53,82781.24,65384.98,108578.24
Loja D,2025-08-10,58821.11,87945.41,42815.37,45937.25,57612.24,50406.35,45387.88
Loja D,2025-08-17,24966.87,103674.63,26430.15,108736.55,32546.54,26526.17,76300.48
Loja D,2025-08-24,70244.18,69123.46,77450.43,48705.66,86294.93,70240.22,53474.35
Loja D,2025-08-31,102650.07,92772.11,59361.03,104761.78,112025.83,73686.63,41495.25
Loja D,2025-09-07,111579.22,38947.96,24842.32,52748.7,92696.63,112327.41,83728.56
Loja D,2025-09-14,115183.85,29237.08,26075.37,80419.2,116611.63,70272.13,25151.52
Loja D,2025-09-21,42121.87,44479.29,53785.71,24360.34,110489.27,71556.39,87093.08
Loja D,2025-09-28,26717.28,25411.55,78646.78,108729.6,72848.2,107781.92,101099.13
Loja D,2025-10-05,27585.38,40195.75,85771.07,64350.14,49069.98,61863.39,64519.96
Loja D,2025-10-12,111055.23,30345.83,47973.07,73756.48,89828.69,83063.73,114164.27
Loja D,2025-10-19,99560.89,75707.68,41468.27,65087.42,89338.22,103796.22,115973.62
Loja D,2025-10-26,80545.28,72691.94,21769.19,27209.91,35610.5,25475.99,60086.32
Loja D,2025-11-02,53687.85,83735.42,73566.51,79597.08,67197.72,47773.71,115282.53
Loja D,2025-11-09,28640.92,113889.1,51123.8,71266.14,30884.23,27093.11,62954.54
Loja D,2025-11-16,94169.74,46936.48,76234.79,47865.03,58861.31,110644.63,105583.96
Loja D,2025-11-23,71601.75,43810.56,39318.39,115408.74,40271.66,100816.83,56897.02
Loja D,2025-11-30,118565.98,56815.57,55151.66,83746.36,116151.68,117620.96,90720.61
Loja D,2025-12-07,95460.64,76340.22,95577.57,105977.97,68609.53,81986.23,73731.67
Loja D,2025-12-14,76247.06,109004.79,55561.68,40818.4,65628.01,40808.52,69840.04
Loja D,2025-12-21,110350.81,81743.35,105543.29,36619.09,110087.36,80178.72,23175.98
Loja D,2025-12-28,83311.9,115139.7,27916.7,78245.61,111547.86,20969.52,83091.29
